date_day,year,month,day,day_of_week,day_name,week,quarter,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end
2016-02-20,2016,2,20,5,Saturday,7,1,True,False,False,False,False
2016-02-21,2016,2,21,6,Sunday,7,1,True,False,False,False,False
2016-02-22,2016,2,22,0,Monday,8,1,False,False,False,False,False
2016-02-23,2016,2,23,1,Tuesday,8,1,False,False,False,False,False
2016-02-24,2016,2,24,2,Wednesday,8,1,False,False,False,False,False
2016-02-25,2016,2,25,3,Thursday,8,1,False,False,False,False,False
2016-02-26,2016,2,26,4,Friday,8,1,False,False,False,False,False
2016-02-27,2016,2,27,5,Saturday,8,1,True,False,False,False,False
2016-02-28,2016,2,28,6,Sunday,8,1,True,False,False,False,False
2016-02-29,2016,2,29,0,Monday,9,1,False,False,True,False,False
2016-03-01,2016,3,1,1,Tuesday,9,1,False,True,False,False,False
2016-03-02,2016,3,2,2,Wednesday,9,1,False,False,False,False,False
2016-03-03,2016,3,3,3,Thursday,9,1,False,False,False,False,False
2016-03-04,2016,3,4,4,Friday,9,1,False,False,False,False,False
2016-03-05,2016,3,5,5,Saturday,9,1,True,False,False,False,False
2016-03-06,2016,3,6,6,Sunday,9,1,True,False,False,False,False
2016-03-07,2016,3,7,0,Monday,10,1,False,False,False,False,False
2016-03-08,2016,3,8,1,Tuesday,10,1,False,False,False,False,False
2016-03-09,2016,3,9,2,Wednesday,10,1,False,False,False,False,False
2016-03-10,2016,3,10,3,Thursday,10,1,False,False,False,False,False
2016-03-11,2016,3,11,4,Friday,10,1,False,False,False,False,False
2016-03-12,2016,3,12,5,Saturday,10,1,True,False,False,False,False
2016-03-13,2016,3,13,6,Sunday,10,1,True,False,False,False,False
2016-03-14,2016,3,14,0,Monday,11,1,False,False,False,False,False
2016-03-15,2016,3,15,1,Tuesday,11,1,False,False,False,False,False
2016-03-16,2016,3,16,2,Wednesday,11,1,False,False,False,False,False
2016-03-17,2016,3,17,3,Thursday,11,1,False,False,False,False,False
2016-03-18,2016,3,18,4,Friday,11,1,False,False,False,False,False
2016-03-19,2016,3,19,5,Saturday,11,1,True,False,False,False,False
2016-03-20,2016,3,20,6,Sunday,11,1,True,False,False,False,False
2016-03-21,2016,3,21,0,Monday,12,1,False,False,False,False,False
2016-03-22,2016,3,22,1,Tuesday,12,1,False,False,False,False,False
2016-03-23,2016,3,23,2,Wednesday,12,1,False,False,False,False,False
2016-03-24,2016,3,24,3,Thursday,12,1,False,False,False,False,False
2016-03-25,2016,3,25,4,Friday,12,1,False,False,False,False,False
2016-03-26,2016,3,26,5,Saturday,12,1,True,False,False,False,False
2016-03-27,2016,3,27,6,Sunday,12,1,True,False,False,False,False
2016-03-28,2016,3,28,0,Monday,13,1,False,False,False,False,False
2016-03-29,2016,3,29,1,Tuesday,13,1,False,False,False,False,False
2016-03-30,2016,3,30,2,Wednesday,13,1,False,False,False,False,False
2016-03-31,2016,3,31,3,Thursday,13,1,False,False,True,False,True
2016-04-01,2016,4,1,4,Friday,13,2,False,True,False,True,False
2016-04-02,2016,4,2,5,Saturday,13,2,True,False,False,False,False
2016-04-03,2016,4,3,6,Sunday,13,2,True,False,False,False,False
2016-04-04,2016,4,4,0,Monday,14,2,False,False,False,False,False
2016-04-05,2016,4,5,1,Tuesday,14,2,False,False,False,False,False
2016-04-06,2016,4,6,2,Wednesday,14,2,False,False,False,False,False
2016-04-07,2016,4,7,3,Thursday,14,2,False,False,False,False,False
2016-04-08,2016,4,8,4,Friday,14,2,False,False,False,False,False
2016-04-09,2016,4,9,5,Saturday,14,2,True,False,False,False,False
2016-04-10,2016,4,10,6,Sunday,14,2,True,False,False,False,False
2016-04-11,2016,4,11,0,Monday,15,2,False,False,False,False,False
2016-04-12,2016,4,12,1,Tuesday,15,2,False,False,False,False,False
2016-04-13,2016,4,13,2,Wednesday,15,2,False,False,False,False,False
2016-04-14,2016,4,14,3,Thursday,15,2,False,False,False,False,False
2016-04-15,2016,4,15,4,Friday,15,2,False,False,False,False,False
2016-04-16,2016,4,16,5,Saturday,15,2,True,False,False,False,False
2016-04-17,2016,4,17,6,Sunday,15,2,True,False,False,False,False
2016-04-18,2016,4,18,0,Monday,16,2,False,False,False,False,False
2016-04-19,2016,4,19,1,Tuesday,16,2,False,False,False,False,False
2016-04-20,2016,4,20,2,Wednesday,16,2,False,False,False,False,False
2016-04-21,2016,4,21,3,Thursday,16,2,False,False,False,False,False
2016-04-22,2016,4,22,4,Friday,16,2,False,False,False,False,False
2016-04-23,2016,4,23,5,Saturday,16,2,True,False,False,False,False
2016-04-24,2016,4,24,6,Sunday,16,2,True,False,False,False,False
2016-04-25,2016,4,25,0,Monday,17,2,False,False,False,False,False
2016-04-26,2016,4,26,1,Tuesday,17,2,False,False,False,False,False
2016-04-27,2016,4,27,2,Wednesday,17,2,False,False,False,False,False
2016-04-28,2016,4,28,3,Thursday,17,2,False,False,False,False,False
2016-04-29,2016,4,29,4,Friday,17,2,False,False,False,False,False
2016-04-30,2016,4,30,5,Saturday,17,2,True,False,True,False,False
2016-05-01,2016,5,1,6,Sunday,17,2,True,True,False,False,False
2016-05-02,2016,5,2,0,Monday,18,2,False,False,False,False,False
2016-05-03,2016,5,3,1,Tuesday,18,2,False,False,False,False,False
2016-05-04,2016,5,4,2,Wednesday,18,2,False,False,False,False,False
2016-05-05,2016,5,5,3,Thursday,18,2,False,False,False,False,False
2016-05-06,2016,5,6,4,Friday,18,2,False,False,False,False,False
2016-05-07,2016,5,7,5,Saturday,18,2,True,False,False,False,False
2016-05-08,2016,5,8,6,Sunday,18,2,True,False,False,False,False
2016-05-09,2016,5,9,0,Monday,19,2,False,False,False,False,False
2016-05-10,2016,5,10,1,Tuesday,19,2,False,False,False,False,False
2016-05-11,2016,5,11,2,Wednesday,19,2,False,False,False,False,False
2016-05-12,2016,5,12,3,Thursday,19,2,False,False,False,False,False
2016-05-13,2016,5,13,4,Friday,19,2,False,False,False,False,False
2016-05-14,2016,5,14,5,Saturday,19,2,True,False,False,False,False
2016-05-15,2016,5,15,6,Sunday,19,2,True,False,False,False,False
2016-05-16,2016,5,16,0,Monday,20,2,False,False,False,False,False
2016-05-17,2016,5,17,1,Tuesday,20,2,False,False,False,False,False
2016-05-18,2016,5,18,2,Wednesday,20,2,False,False,False,False,False
2016-05-19,2016,5,19,3,Thursday,20,2,False,False,False,False,False
2016-05-20,2016,5,20,4,Friday,20,2,False,False,False,False,False
2016-05-21,2016,5,21,5,Saturday,20,2,True,False,False,False,False
2016-05-22,2016,5,22,6,Sunday,20,2,True,False,False,False,False
2016-05-23,2016,5,23,0,Monday,21,2,False,False,False,False,False
2016-05-24,2016,5,24,1,Tuesday,21,2,False,False,False,False,False
2016-05-25,2016,5,25,2,Wednesday,21,2,False,False,False,False,False
2016-05-26,2016,5,26,3,Thursday,21,2,False,False,False,False,False
2016-05-27,2016,5,27,4,Friday,21,2,False,False,False,False,False
2016-05-28,2016,5,28,5,Saturday,21,2,True,False,False,False,False
2016-05-29,2016,5,29,6,Sunday,21,2,True,False,False,False,False
2016-05-30,2016,5,30,0,Monday,22,2,False,False,False,False,False
2016-05-31,2016,5,31,1,Tuesday,22,2,False,False,True,False,False
2016-06-01,2016,6,1,2,Wednesday,22,2,False,True,False,False,False
2016-06-02,2016,6,2,3,Thursday,22,2,False,False,False,False,False
2016-06-03,2016,6,3,4,Friday,22,2,False,False,False,False,False
2016-06-04,2016,6,4,5,Saturday,22,2,True,False,False,False,False
2016-06-05,2016,6,5,6,Sunday,22,2,True,False,False,False,False
2016-06-06,2016,6,6,0,Monday,23,2,False,False,False,False,False
2016-06-07,2016,6,7,1,Tuesday,23,2,False,False,False,False,False
2016-06-08,2016,6,8,2,Wednesday,23,2,False,False,False,False,False
2016-06-09,2016,6,9,3,Thursday,23,2,False,False,False,False,False
2016-06-10,2016,6,10,4,Friday,23,2,False,False,False,False,False
2016-06-11,2016,6,11,5,Saturday,23,2,True,False,False,False,False
2016-06-12,2016,6,12,6,Sunday,23,2,True,False,False,False,False
2016-06-13,2016,6,13,0,Monday,24,2,False,False,False,False,False
2016-06-14,2016,6,14,1,Tuesday,24,2,False,False,False,False,False
2016-06-15,2016,6,15,2,Wednesday,24,2,False,False,False,False,False
2016-06-16,2016,6,16,3,Thursday,24,2,False,False,False,False,False
2016-06-17,2016,6,17,4,Friday,24,2,False,False,False,False,False
2016-06-18,2016,6,18,5,Saturday,24,2,True,False,False,False,False
2016-06-19,2016,6,19,6,Sunday,24,2,True,False,False,False,False
2016-06-20,2016,6,20,0,Monday,25,2,False,False,False,False,False
2016-06-21,2016,6,21,1,Tuesday,25,2,False,False,False,False,False
2016-06-22,2016,6,22,2,Wednesday,25,2,False,False,False,False,False
2016-06-23,2016,6,23,3,Thursday,25,2,False,False,False,False,False
2016-06-24,2016,6,24,4,Friday,25,2,False,False,False,False,False
2016-06-25,2016,6,25,5,Saturday,25,2,True,False,False,False,False
2016-06-26,2016,6,26,6,Sunday,25,2,True,False,False,False,False
2016-06-27,2016,6,27,0,Monday,26,2,False,False,False,False,False
2016-06-28,2016,6,28,1,Tuesday,26,2,False,False,False,False,False
2016-06-29,2016,6,29,2,Wednesday,26,2,False,False,False,False,False
2016-06-30,2016,6,30,3,Thursday,26,2,False,False,True,False,True
2016-07-01,2016,7,1,4,Friday,26,3,False,True,False,True,False
2016-07-02,2016,7,2,5,Saturday,26,3,True,False,False,False,False
2016-07-03,2016,7,3,6,Sunday,26,3,True,False,False,False,False
2016-07-04,2016,7,4,0,Monday,27,3,False,False,False,False,False
2016-07-05,2016,7,5,1,Tuesday,27,3,False,False,False,False,False
2016-07-06,2016,7,6,2,Wednesday,27,3,False,False,False,False,False
2016-07-07,2016,7,7,3,Thursday,27,3,False,False,False,False,False
2016-07-08,2016,7,8,4,Friday,27,3,False,False,False,False,False
2016-07-09,2016,7,9,5,Saturday,27,3,True,False,False,False,False
2016-07-10,2016,7,10,6,Sunday,27,3,True,False,False,False,False
2016-07-11,2016,7,11,0,Monday,28,3,False,False,False,False,False
2016-07-12,2016,7,12,1,Tuesday,28,3,False,False,False,False,False
2016-07-13,2016,7,13,2,Wednesday,28,3,False,False,False,False,False
2016-07-14,2016,7,14,3,Thursday,28,3,False,False,False,False,False
2016-07-15,2016,7,15,4,Friday,28,3,False,False,False,False,False
2016-07-16,2016,7,16,5,Saturday,28,3,True,False,False,False,False
2016-07-17,2016,7,17,6,Sunday,28,3,True,False,False,False,False
2016-07-18,2016,7,18,0,Monday,29,3,False,False,False,False,False
2016-07-19,2016,7,19,1,Tuesday,29,3,False,False,False,False,False
2016-07-20,2016,7,20,2,Wednesday,29,3,False,False,False,False,False
2016-07-21,2016,7,21,3,Thursday,29,3,False,False,False,False,False
2016-07-22,2016,7,22,4,Friday,29,3,False,False,False,False,False
2016-07-23,2016,7,23,5,Saturday,29,3,True,False,False,False,False
2016-07-24,2016,7,24,6,Sunday,29,3,True,False,False,False,False
2016-07-25,2016,7,25,0,Monday,30,3,False,False,False,False,False
2016-07-26,2016,7,26,1,Tuesday,30,3,False,False,False,False,False
2016-07-27,2016,7,27,2,Wednesday,30,3,False,False,False,False,False
2016-07-28,2016,7,28,3,Thursday,30,3,False,False,False,False,False
2016-07-29,2016,7,29,4,Friday,30,3,False,False,False,False,False
2016-07-30,2016,7,30,5,Saturday,30,3,True,False,False,False,False
2016-07-31,2016,7,31,6,Sunday,30,3,True,False,True,False,False
2016-08-01,2016,8,1,0,Monday,31,3,False,True,False,False,False
2016-08-02,2016,8,2,1,Tuesday,31,3,False,False,False,False,False
2016-08-03,2016,8,3,2,Wednesday,31,3,False,False,False,False,False
2016-08-04,2016,8,4,3,Thursday,31,3,False,False,False,False,False
2016-08-05,2016,8,5,4,Friday,31,3,False,False,False,False,False
2016-08-06,2016,8,6,5,Saturday,31,3,True,False,False,False,False
2016-08-07,2016,8,7,6,Sunday,31,3,True,False,False,False,False
2016-08-08,2016,8,8,0,Monday,32,3,False,False,False,False,False
2016-08-09,2016,8,9,1,Tuesday,32,3,False,False,False,False,False
2016-08-10,2016,8,10,2,Wednesday,32,3,False,False,False,False,False
2016-08-11,2016,8,11,3,Thursday,32,3,False,False,False,False,False
2016-08-12,2016,8,12,4,Friday,32,3,False,False,False,False,False
2016-08-13,2016,8,13,5,Saturday,32,3,True,False,False,False,False
2016-08-14,2016,8,14,6,Sunday,32,3,True,False,False,False,False
2016-08-15,2016,8,15,0,Monday,33,3,False,False,False,False,False
2016-08-16,2016,8,16,1,Tuesday,33,3,False,False,False,False,False
2016-08-17,2016,8,17,2,Wednesday,33,3,False,False,False,False,False
2016-08-18,2016,8,18,3,Thursday,33,3,False,False,False,False,False
2016-08-19,2016,8,19,4,Friday,33,3,False,False,False,False,False
2016-08-20,2016,8,20,5,Saturday,33,3,True,False,False,False,False
2016-08-21,2016,8,21,6,Sunday,33,3,True,False,False,False,False
2016-08-22,2016,8,22,0,Monday,34,3,False,False,False,False,False
2016-08-23,2016,8,23,1,Tuesday,34,3,False,False,False,False,False
2016-08-24,2016,8,24,2,Wednesday,34,3,False,False,False,False,False
2016-08-25,2016,8,25,3,Thursday,34,3,False,False,False,False,False
2016-08-26,2016,8,26,4,Friday,34,3,False,False,False,False,False
2016-08-27,2016,8,27,5,Saturday,34,3,True,False,False,False,False
2016-08-28,2016,8,28,6,Sunday,34,3,True,False,False,False,False
2016-08-29,2016,8,29,0,Monday,35,3,False,False,False,False,False
2016-08-30,2016,8,30,1,Tuesday,35,3,False,False,False,False,False
2016-08-31,2016,8,31,2,Wednesday,35,3,False,False,True,False,False
2016-09-01,2016,9,1,3,Thursday,35,3,False,True,False,False,False
2016-09-02,2016,9,2,4,Friday,35,3,False,False,False,False,False
2016-09-03,2016,9,3,5,Saturday,35,3,True,False,False,False,False
2016-09-04,2016,9,4,6,Sunday,35,3,True,False,False,False,False
2016-09-05,2016,9,5,0,Monday,36,3,False,False,False,False,False
2016-09-06,2016,9,6,1,Tuesday,36,3,False,False,False,False,False
2016-09-07,2016,9,7,2,Wednesday,36,3,False,False,False,False,False
2016-09-08,2016,9,8,3,Thursday,36,3,False,False,False,False,False
2016-09-09,2016,9,9,4,Friday,36,3,False,False,False,False,False
2016-09-10,2016,9,10,5,Saturday,36,3,True,False,False,False,False
2016-09-11,2016,9,11,6,Sunday,36,3,True,False,False,False,False
2016-09-12,2016,9,12,0,Monday,37,3,False,False,False,False,False
2016-09-13,2016,9,13,1,Tuesday,37,3,False,False,False,False,False
2016-09-14,2016,9,14,2,Wednesday,37,3,False,False,False,False,False
2016-09-15,2016,9,15,3,Thursday,37,3,False,False,False,False,False
2016-09-16,2016,9,16,4,Friday,37,3,False,False,False,False,False
2016-09-17,2016,9,17,5,Saturday,37,3,True,False,False,False,False
2016-09-18,2016,9,18,6,Sunday,37,3,True,False,False,False,False
2016-09-19,2016,9,19,0,Monday,38,3,False,False,False,False,False
2016-09-20,2016,9,20,1,Tuesday,38,3,False,False,False,False,False
2016-09-21,2016,9,21,2,Wednesday,38,3,False,False,False,False,False
2016-09-22,2016,9,22,3,Thursday,38,3,False,False,False,False,False
2016-09-23,2016,9,23,4,Friday,38,3,False,False,False,False,False
2016-09-24,2016,9,24,5,Saturday,38,3,True,False,False,False,False
2016-09-25,2016,9,25,6,Sunday,38,3,True,False,False,False,False
2016-09-26,2016,9,26,0,Monday,39,3,False,False,False,False,False
2016-09-27,2016,9,27,1,Tuesday,39,3,False,False,False,False,False
2016-09-28,2016,9,28,2,Wednesday,39,3,False,False,False,False,False
2016-09-29,2016,9,29,3,Thursday,39,3,False,False,False,False,False
2016-09-30,2016,9,30,4,Friday,39,3,False,False,True,False,True
2016-10-01,2016,10,1,5,Saturday,39,4,True,True,False,True,False
2016-10-02,2016,10,2,6,Sunday,39,4,True,False,False,False,False
2016-10-03,2016,10,3,0,Monday,40,4,False,False,False,False,False
2016-10-04,2016,10,4,1,Tuesday,40,4,False,False,False,False,False
2016-10-05,2016,10,5,2,Wednesday,40,4,False,False,False,False,False
2016-10-06,2016,10,6,3,Thursday,40,4,False,False,False,False,False
2016-10-07,2016,10,7,4,Friday,40,4,False,False,False,False,False
2016-10-08,2016,10,8,5,Saturday,40,4,True,False,False,False,False
2016-10-09,2016,10,9,6,Sunday,40,4,True,False,False,False,False
2016-10-10,2016,10,10,0,Monday,41,4,False,False,False,False,False
2016-10-11,2016,10,11,1,Tuesday,41,4,False,False,False,False,False
2016-10-12,2016,10,12,2,Wednesday,41,4,False,False,False,False,False
2016-10-13,2016,10,13,3,Thursday,41,4,False,False,False,False,False
2016-10-14,2016,10,14,4,Friday,41,4,False,False,False,False,False
2016-10-15,2016,10,15,5,Saturday,41,4,True,False,False,False,False
2016-10-16,2016,10,16,6,Sunday,41,4,True,False,False,False,False
2016-10-17,2016,10,17,0,Monday,42,4,False,False,False,False,False
2016-10-18,2016,10,18,1,Tuesday,42,4,False,False,False,False,False
